snapshot_date,file_path,linus_lines,total_lines
28-01-2018,arch/alpha/math-emu/qrnnd.S,163,163
28-01-2018,arch/alpha/math-emu/sfp-util.h,35,36
28-01-2018,arch/alpha/mm/Makefile,7,9
28-01-2018,arch/alpha/mm/fault.c,216,260
28-01-2018,arch/alpha/mm/init.c,275,301
28-01-2018,arch/alpha/mm/numa.c,304,322
28-01-2018,arch/alpha/oprofile/Makefile,18,20
28-01-2018,arch/alpha/oprofile/common.c,173,189
28-01-2018,arch/alpha/oprofile/op_impl.h,54,55
28-01-2018,arch/alpha/oprofile/op_model_ev4.c,114,114
28-01-2018,arch/alpha/oprofile/op_model_ev5.c,209,209
28-01-2018,arch/alpha/oprofile/op_model_ev6.c,101,101
28-01-2018,arch/alpha/oprofile/op_model_ev67.c,260,261
28-01-2018,arch/arc/mm/fault.c,1,242
28-01-2018,arch/arm/Kconfig,305,2221
28-01-2018,arch/arm/Kconfig.debug,39,1826
28-01-2018,arch/arm/Makefile,93,384
28-01-2018,arch/arm/boot/Makefile,67,118
28-01-2018,arch/arm/boot/bootp/Makefile,22,29
28-01-2018,arch/arm/boot/bootp/bootp.lds,29,30
28-01-2018,arch/arm/boot/bootp/init.S,85,88
28-01-2018,arch/arm/boot/bootp/initrd.S,6,7
28-01-2018,arch/arm/boot/bootp/kernel.S,6,7
28-01-2018,arch/arm/boot/compressed/Makefile,48,202
28-01-2018,arch/arm/boot/compressed/big-endian.S,13,14
28-01-2018,arch/arm/boot/compressed/head-sa1100.S,46,49
28-01-2018,arch/arm/boot/compressed/head-sharpsl.S,65,151
28-01-2018,arch/arm/boot/compressed/head-xscale.S,34,35
28-01-2018,arch/arm/boot/compressed/head.S,431,1424
28-01-2018,arch/arm/boot/compressed/ll_char_wr.S,131,134
28-01-2018,arch/arm/boot/compressed/misc.c,51,169
28-01-2018,arch/arm/boot/compressed/piggy.S,5,7
28-01-2018,arch/arm/boot/compressed/vmlinux.lds.S,46,130
28-01-2018,arch/arm/boot/dts/Makefile,1,1107
28-01-2018,arch/arm/boot/dts/am335x-evmsk.dts,2,727
28-01-2018,arch/arm/boot/dts/am33xx.dtsi,1,1017
28-01-2018,arch/arm/boot/dts/armada-370-xp.dtsi,1,352
28-01-2018,arch/arm/boot/dts/armada-xp-db.dts,1,279
28-01-2018,arch/arm/boot/dts/armada-xp-gp.dts,1,264
28-01-2018,arch/arm/boot/dts/armada-xp-openblocks-ax3-4.dts,1,248
28-01-2018,arch/arm/boot/dts/at91sam9260.dtsi,1,1053
28-01-2018,arch/arm/boot/dts/at91sam9263.dtsi,1,1081
28-01-2018,arch/arm/boot/dts/at91sam9g45.dtsi,2,1372
28-01-2018,arch/arm/boot/dts/at91sam9x5.dtsi,1,1323
28-01-2018,arch/arm/boot/dts/bcm11351.dtsi,1,424
28-01-2018,arch/arm/boot/dts/imx53-qsb-common.dtsi,10,368
28-01-2018,arch/arm/boot/dts/meson.dtsi,1,299
28-01-2018,arch/arm/boot/dts/omap3-evm-common.dtsi,2,195
28-01-2018,arch/arm/boot/dts/omap34xx.dtsi,1,84
28-01-2018,arch/arm/boot/dts/omap36xx.dtsi,1,123
28-01-2018,arch/arm/boot/dts/omap4.dtsi,1,1283
28-01-2018,arch/arm/boot/dts/r8a7740.dtsi,1,724
28-01-2018,arch/arm/boot/dts/sama5d2.dtsi,1,1512
28-01-2018,arch/arm/boot/dts/spear13xx.dtsi,2,345
28-01-2018,arch/arm/boot/dts/ste-dbx5x0.dtsi,1,1227
28-01-2018,arch/arm/boot/dts/ste-nomadik-s8815.dts,1,172
28-01-2018,arch/arm/boot/dts/ste-nomadik-stn8815.dtsi,1,884
28-01-2018,arch/arm/boot/dts/ste-snowball.dts,1,668
28-01-2018,arch/arm/boot/dts/sun4i-a10.dtsi,1,1166
28-01-2018,arch/arm/boot/install.sh,50,66
28-01-2018,arch/arm/common/Kconfig,14,17
28-01-2018,arch/arm/common/Makefile,9,19
28-01-2018,arch/arm/common/bL_switcher_dummy_if.c,1,59
28-01-2018,arch/arm/common/dmabounce.c,223,590
28-01-2018,arch/arm/common/locomo.c,644,890
28-01-2018,arch/arm/common/sa1111.c,911,1540
28-01-2018,arch/arm/common/scoop.c,90,275
28-01-2018,arch/arm/common/sharpsl_param.c,57,65
28-01-2018,arch/arm/configs/assabet_defconfig,47,56
28-01-2018,arch/arm/configs/badge4_defconfig,83,112
28-01-2018,arch/arm/configs/cerfcube_defconfig,58,70
28-01-2018,arch/arm/configs/ebsa110_defconfig,63,74
28-01-2018,arch/arm/configs/footbridge_defconfig,94,124
28-01-2018,arch/arm/configs/h3600_defconfig,37,70
28-01-2018,arch/arm/configs/hackkit_defconfig,37,46
28-01-2018,arch/arm/configs/integrator_defconfig,41,85
28-01-2018,arch/arm/configs/ixp4xx_defconfig,55,193
28-01-2018,arch/arm/configs/jornada720_defconfig,30,105
28-01-2018,arch/arm/configs/keystone_defconfig,1,230
28-01-2018,arch/arm/configs/lart_defconfig,62,70
28-01-2018,arch/arm/configs/lubbock_defconfig,43,52
28-01-2018,arch/arm/configs/mainstone_defconfig,42,50
28-01-2018,arch/arm/configs/neponset_defconfig,70,84
28-01-2018,arch/arm/configs/netwinder_defconfig,72,86
28-01-2018,arch/arm/configs/pleb_defconfig,41,54
28-01-2018,arch/arm/configs/pxa255-idp_defconfig,46,54
28-01-2018,arch/arm/configs/rpc_defconfig,95,128
28-01-2018,arch/arm/configs/s3c2410_defconfig,52,442
28-01-2018,arch/arm/configs/shannon_defconfig,36,44
28-01-2018,arch/arm/configs/simpad_defconfig,88,104
28-01-2018,arch/arm/configs/tegra_defconfig,1,306
28-01-2018,arch/arm/configs/versatile_defconfig,47,93
28-01-2018,arch/arm/include/asm/assembler.h,67,539
28-01-2018,arch/arm/include/asm/atomic.h,43,541
28-01-2018,arch/arm/include/asm/bitops.h,171,350
28-01-2018,arch/arm/include/asm/bug.h,12,91
28-01-2018,arch/arm/include/asm/bugs.h,16,21
28-01-2018,arch/arm/include/asm/cache.h,8,29
28-01-2018,arch/arm/include/asm/cacheflush.h,185,484
28-01-2018,arch/arm/include/asm/checksum.h,85,154
28-01-2018,arch/arm/include/asm/cpu.h,23,26
28-01-2018,arch/arm/include/asm/delay.h,31,100
28-01-2018,arch/arm/include/asm/div64.h,25,131
28-01-2018,arch/arm/include/asm/dma-mapping.h,39,250
28-01-2018,arch/arm/include/asm/dma.h,100,152
28-01-2018,arch/arm/include/asm/domain.h,37,155
28-01-2018,arch/arm/include/asm/ecard.h,209,219
28-01-2018,arch/arm/include/asm/elf.h,33,152
28-01-2018,arch/arm/include/asm/fiq.h,34,57
28-01-2018,arch/arm/include/asm/floppy.h,132,148
28-01-2018,arch/arm/include/asm/fpstate.h,69,93
28-01-2018,arch/arm/include/asm/glue.h,22,25
28-01-2018,arch/arm/include/asm/hardirq.h,16,33
28-01-2018,arch/arm/include/asm/hardware/dec21285.h,145,147
28-01-2018,arch/arm/include/asm/hardware/entry-macro-iomd.S,119,131
28-01-2018,arch/arm/include/asm/hardware/ioc.h,71,72
28-01-2018,arch/arm/include/asm/hardware/iomd.h,184,185
28-01-2018,arch/arm/include/asm/hardware/locomo.h,181,219
28-01-2018,arch/arm/include/asm/hardware/memc.h,25,26
28-01-2018,arch/arm/include/asm/hardware/sa1111.h,409,478
28-01-2018,arch/arm/include/asm/hardware/scoop.h,33,71
28-01-2018,arch/arm/include/asm/hardware/ssp.h,26,28
28-01-2018,arch/arm/include/asm/ide.h,21,24
28-01-2018,arch/arm/include/asm/io.h,119,491
28-01-2018,arch/arm/include/asm/irq.h,18,53
28-01-2018,arch/arm/include/asm/kmap_types.h,7,10
28-01-2018,arch/arm/include/asm/limits.h,11,12
28-01-2018,arch/arm/include/asm/linkage.h,7,12
28-01-2018,arch/arm/include/asm/mach/arch.h,35,101
28-01-2018,arch/arm/include/asm/mach/dma.h,34,54
28-01-2018,arch/arm/include/asm/mach/flash.h,32,39
28-01-2018,arch/arm/include/asm/mach/irq.h,19,33
28-01-2018,arch/arm/include/asm/mach/map.h,17,67
28-01-2018,arch/arm/include/asm/mach/pci.h,44,96
28-01-2018,arch/arm/include/asm/mach/sharpsl_param.h,37,37
28-01-2018,arch/arm/include/asm/mach/time.h,14,19
28-01-2018,arch/arm/include/asm/mc146818rtc.h,26,31
28-01-2018,arch/arm/include/asm/memory.h,62,380
28-01-2018,arch/arm/include/asm/mmu.h,12,49
28-01-2018,arch/arm/include/asm/mmu_context.h,54,157
28-01-2018,arch/arm/include/asm/module.h,8,63
28-01-2018,arch/arm/include/asm/nwflash.h,9,10
28-01-2018,arch/arm/include/asm/page.h,97,173
28-01-2018,arch/arm/include/asm/pci.h,15,41
28-01-2018,arch/arm/include/asm/pgalloc.h,79,174
28-01-2018,arch/arm/include/asm/pgtable.h,74,377
28-01-2018,arch/arm/include/asm/proc-fns.h,39,153
28-01-2018,arch/arm/include/asm/processor.h,73,142
28-01-2018,arch/arm/include/asm/procinfo.h,41,49
28-01-2018,arch/arm/include/asm/ptrace.h,55,171
28-01-2018,arch/arm/include/asm/setup.h,17,34
28-01-2018,arch/arm/include/asm/shmparam.h,16,17
28-01-2018,arch/arm/include/asm/signal.h,20,23
28-01-2018,arch/arm/include/asm/smp.h,29,127
28-01-2018,arch/arm/include/asm/spinlock.h,87,272
28-01-2018,arch/arm/include/asm/string.h,36,56
28-01-2018,arch/arm/include/asm/system_misc.h,1,33
28-01-2018,arch/arm/include/asm/therm.h,27,29
28-01-2018,arch/arm/include/asm/thread_info.h,98,173
28-01-2018,arch/arm/include/asm/timex.h,16,18
28-01-2018,arch/arm/include/asm/tlb.h,78,296
28-01-2018,arch/arm/include/asm/tlbflush.h,285,687
28-01-2018,arch/arm/include/asm/topology.h,6,45
28-01-2018,arch/arm/include/asm/traps.h,18,49
28-01-2018,arch/arm/include/asm/uaccess.h,181,524
28-01-2018,arch/arm/include/asm/ucontext.h,11,110
28-01-2018,arch/arm/include/asm/unistd.h,24,69
28-01-2018,arch/arm/include/asm/user.h,82,104
28-01-2018,arch/arm/include/asm/vfp.h,60,99
28-01-2018,arch/arm/include/asm/vfpmacros.h,21,66
28-01-2018,arch/arm/include/asm/vga.h,9,14
28-01-2018,arch/arm/include/asm/xor.h,140,214
28-01-2018,arch/arm/include/debug/dc21285.S,34,42
28-01-2018,arch/arm/include/debug/s3c24xx.S,16,46
28-01-2018,arch/arm/include/debug/sa1100.S,39,68
28-01-2018,arch/arm/include/uapi/asm/byteorder.h,18,26
28-01-2018,arch/arm/include/uapi/asm/fcntl.h,9,12
28-01-2018,arch/arm/include/uapi/asm/ioctls.h,7,9
28-01-2018,arch/arm/include/uapi/asm/posix_types.h,29,38
28-01-2018,arch/arm/include/uapi/asm/sigcontext.h,34,35
28-01-2018,arch/arm/include/uapi/asm/stat.h,85,88
28-01-2018,arch/arm/include/uapi/asm/statfs.h,5,13
28-01-2018,arch/arm/kernel/Makefile,19,104
28-01-2018,arch/arm/kernel/asm-offsets.c,64,202
28-01-2018,arch/arm/kernel/atags_compat.c,212,217
28-01-2018,arch/arm/kernel/bios32.c,428,623
28-01-2018,arch/arm/kernel/debug.S,58,157
28-01-2018,arch/arm/kernel/dma-isa.c,154,222
28-01-2018,arch/arm/kernel/dma.c,177,298
28-01-2018,arch/arm/kernel/entry-armv.S,309,1238
28-01-2018,arch/arm/kernel/entry-common.S,109,452
28-01-2018,arch/arm/kernel/entry-header.S,37,394
28-01-2018,arch/arm/kernel/fiq.c,122,165
28-01-2018,arch/arm/kernel/head.S,107,734
28-01-2018,arch/arm/kernel/io.c,42,85
28-01-2018,arch/arm/kernel/irq.c,50,182
28-01-2018,arch/arm/kernel/isa.c,30,70
28-01-2018,arch/arm/kernel/iwmmxt.S,282,373
28-01-2018,arch/arm/kernel/module.c,93,412
28-01-2018,arch/arm/kernel/process.c,106,467
28-01-2018,arch/arm/kernel/ptrace.c,238,979
28-01-2018,arch/arm/kernel/setup.c,280,1313
28-01-2018,arch/arm/kernel/signal.c,240,705
28-01-2018,arch/arm/kernel/smp.c,100,758
28-01-2018,arch/arm/kernel/swp_emulate.c,1,273
28-01-2018,arch/arm/kernel/sys_arm.c,26,39
28-01-2018,arch/arm/kernel/time.c,48,125
28-01-2018,arch/arm/kernel/traps.c,357,860
28-01-2018,arch/arm/kernel/vdso.c,5,355
28-01-2018,arch/arm/kernel/vmlinux.lds.S,25,328
28-01-2018,arch/arm/kvm/guest.c,1,354
28-01-2018,arch/arm/lib/Makefile,13,45
28-01-2018,arch/arm/lib/backtrace.S,41,121
28-01-2018,arch/arm/lib/changebit.S,13,15
28-01-2018,arch/arm/lib/clearbit.S,13,15
28-01-2018,arch/arm/lib/copy_page.S,36,47
28-01-2018,arch/arm/lib/csumipv6.S,30,33
28-01-2018,arch/arm/lib/csumpartial.S,122,142
28-01-2018,arch/arm/lib/csumpartialcopy.S,49,53
28-01-2018,arch/arm/lib/csumpartialcopygeneric.S,245,333
28-01-2018,arch/arm/lib/csumpartialcopyuser.S,61,101
28-01-2018,arch/arm/lib/delay-loop.S,29,62
28-01-2018,arch/arm/lib/div64.S,191,212
